Company Name,Skills,Job Details,More Info
b'Pure Tech Codex Private Limited',"b'rest  ,  python  ,  database  ,  django  ,  debugging  ,  mongodb'","b'Job Description:\r\nJob Description: 2 to 3 Years experience in Python.Expert in Python ,  with knowledge of at least one Python web framework  Flask ,  Django etc.Expert in server programming.Go... More Details'",b'https://www.timesjobs.com/job-detail/python-pure-tech-codex-private-limited-pune-2-to-3-yrs-jobid-OHwfF0d6EhNzpSvf__PLUS__uAgZw==&source=srp'
b'Surya Informatics Solutions Pvt. Ltd.',"b'python  ,  web technologies  ,  linux  ,  mobile  ,  mysql  ,  angularjs  ,  javascript'","b'Job Description:\r\nPOSITION: Python Developer ELIGIBILITY: FRESHERS Your RoleUnderstand requirements and participate in project road map discussions in order to design ,  estimate ,  and deliver... More Details'",b'https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp'
b'Gemini Solutions',"b'python  ,  mobile  ,  svn  ,  nosql  ,  python scripting  ,  git  ,  api  ,  sql database'",b'Job Description:\r\n4  Years GurgaonB.TechRequired Skills 4   years of software quality assurance experienceExperience on creating Framework For Test Automation.Good knowledge of Python Scripting... More Details',b'https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-solutions-gurgaon-4-to-7-yrs-jobid-eGMLzwOk2QlzpSvf__PLUS__uAgZw==&source=srp'
b'SB3 Software Solutions Pvt. Ltd.\r\n     (More Jobs)',"b'Python Developer  ,  python'","b'Job Description:\r\nDear Candidates , We have an urgent job opening for below mentioned:Position: Python DeveloperLocation : KolkataSalary: 4-6 lacsExp: 4-6 yearsSkills :Comm skill- good: Main sk... More Details'",b'https://www.timesjobs.com/job-detail/python-developer-sb3-software-solutions-pvt-ltd-kolkata-4-to-9-yrs-jobid-BXhnSp3FyhlzpSvf__PLUS__uAgZw==&source=srp'
b'TandA HR Solutions',"b'Django framework  ,  Python Developer  ,  core python'",b'Job Description:\r\nHiring for Python Developer for Females in MNC Company for Mohali locationProfile  Python DeveloperExperience  3 to 5 yearsLocation  MohaliGender Preference  FemaleQualificati... More Details',b'https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-3-to-5-yrs-jobid-GTT0grHZP1tzpSvf__PLUS__uAgZw==&source=srp'
b'TEAMPLUS STAFFING SOLUTION PVT. LTD.',"b'python  ,  python scripting  ,  shell scripting  ,  unix'",b'Job Description:\r\nIndustryITPrevious Work Experience6 -9 YRSSalaryAs Per IndustryJob FunctionTechnologySkill 4  years of Python scripting- need framework development experience  ( 3 / 5 )  3  y... More Details',b'https://www.timesjobs.com/job-detail/python-developer-teamplus-staffing-solution-pvt-ltd-pune-6-to-9-yrs-jobid-bjMgIT2lz6JzpSvf__PLUS__uAgZw==&source=srp'
b'TECHNOPARK TRIVANDRUM',"b'python  ,  oops  ,  storage'","b'Job Description:\r\nBrief description :We are looking for python developers to join our engineering team and will be responsible for creating dynamic software products.Responsible for , Writing r... More Details'",b'https://www.timesjobs.com/job-detail/python-developer-technopark-trivandrum-thiruvananthapuram-2-to-5-yrs-jobid-__SLASH__Qi1qhVSOZdzpSvf__PLUS__uAgZw==&source=srp'
b'Quadeye',"b'python  ,  javascript  ,  django  ,  python scripting  ,  linux  ,  html  ,  perl  ,  unix'","b'Job Description:\r\nQuadeye is one of the largest India-based proprietary trading firms. Since inception ,  we have consistently grown at a handsome rate and have a distinct track record of succe... More Details'",b'https://www.timesjobs.com/job-detail/python-developer-quadeye-gurgaon-0-to-3-yrs-jobid-fixwGl5QrGFzpSvf__PLUS__uAgZw==&source=srp'
b'truetech solutions pvt ltd',"b'cli  ,  python  ,  software developer'",b'Job Description:\r\nRoles and ResponsibilitiesStrong working experience in Python development / support.- Exposure of working in Global environment and have delivered at-least 1-2 projects on Pyt... More Details',b'https://www.timesjobs.com/job-detail/python-developer-truetech-solutions-pvt-ltd-mumbai-delhi-delhi-ncr-3-to-6-yrs-jobid-RggFYSqwEAVzpSvf__PLUS__uAgZw==&source=srp'
b'TandA HR Solutions',"b'python  ,  git  ,  django'","b'Job Description:\r\nJob Description: Good to have working knowledge on unit testing of the Code and write Test Cases. Excellent to Have an account on GIT Hub Should have done projects on Python ,... More Details'",b'https://www.timesjobs.com/job-detail/python-developers-tanda-hr-solutions-chandigarh-2-to-5-yrs-jobid-OtVSvO0kmYNzpSvf__PLUS__uAgZw==&source=srp'
